rent	condominium	iptu	adress	area	room	car_space	bathroom	description	link
2693	550	204	Rua da Abolição, Ponte Preta	80	3	2	2	Apartamento para Aluguel - Ponte Preta, 3 Quartos, 80 - Campinas	
2600	40701	150	Rua Doutor Sampaio Peixoto, Cambuí	57	1	1	2	Apartamento para locação no Cambuí em Campinas. Localização estratégica no bairro, com fácil acesso as avenidas, escolas e comércios. Andar alto com linda vista, planta diferenciad...	
1157	470	106	Rua Buarque de Macedo, Guanabara	57	1	1	2	Apartamento para Aluguel - Guanabara, 1 Quarto, 57 - Campinas	
2700	480	265	Cambuí, Campinas	94	3	2	3	Venha morar no Cambuí com conforto e praticidade! Apartamento novo, 1° locação. Living para 2 ambientes com lavabo e sacada. Hall de acesso para 3 dormitórios, sendo uma suíte. Ban...	
1000	646	50	Avenida Barão de Itapura, Vila Itapura	52	1	1	2	Apartamento para Aluguel - Vila Itapura, 1 Quarto, 52 - Campinas	
3800	660	300	Rua Bortolo Martins, Barão Geraldo	300	3	2	4	Casa para Aluguel - Guará, 3 Quartos, 300 - Campinas	
3600		216	Jardim Chapadão, Campinas	197	0	4	3	Casa comercial/residencial com excelente localização, em frente a Escola de Cadetes, no bairro jardim Chapadão em Campinas!A casa dispõe de entradas independentes e possui...	
8000		835	Chácara Primavera, Campinas	504	3	16	1	COMERCIAL OU RESIDENCIALMANSÃO Divisao do imóvel: Cozinha Planejada, area de serviço, BANHEIROS, dormitorios, Sala de Jantar, Sala de Estar, Sala de TV, vagas de garage...	
2300	25	56	Avenida Francisco Alfredo Júnior, Swiss Park	43	0	0	1	Sala para locação no Swiss Park - Campinas.Localizado em zona mista com grande fluxo de carros e pedestres, conta com escada de acesso ao segundo andar, vitrine ampla, pontos p...	
4500		571	Avenida Marechal Rondon, Jardim Chapadão	302	0	4	2	Excelente galpão na Avenida Marechal Rondon, grande fluxo de veículos, entrada para caminhão, possui área de recepção construção com 302 m² e terreno de 412 m², bom para investidor...	
1300	462	62	Barão Geraldo, Campinas	50	1	1	1	Apartamento para Aluguel - Barão Geraldo - Centro, 1 Quarto, 50 - Campinas	
950		25	Rua Ibitinga, Vila João Jorge	50	2	1	1	Casa com 02 dormitórios de fundos, sala conjugada com a cozinha com gabinete, wc com box blindex, area de serviço, piso frio, reformada, 1 vaga de garagem de gaveta. -	
1350	320	3	Rua Visconde de Congonhas do Campo, Loteamento Parque São Martinho	45	2	1	1	Apartamento para Aluguel - Parque das Águas, 2 Quartos, 45 - Campinas	
2055		352	Rua Albina da Encarnação Gouveia, Bosque de Barão Geraldo	150	3	0	3	Casa para Aluguel - Bosque de Barão Geraldo, 3 Quartos, 150 - Campinas	
3847		279	Rua Francisco Otaviano, Jardim Chapadão	237	3	0	3	Casa para Aluguel - Jardim Chapadão, 3 Quartos, 237 - Campinas	
1500		276	Jardim Novo Cambuí, Campinas	255	0	0	0	Ótimo terreno próximo a Avenida Norte Sul, próximo ao Cambuí. -	
1740	434	135	Rua Luís Gama, Bonfim	60	2	2	2	apartamento para locação no bairro Bonfim, Campinas. Lindo apartamento em bairro tranquilo pronto para morar. Fácil acesso a avenidas e rodovias. 2 dormitórios sendo 1 suite com ar...	
2730	468	546	Rua Thomas Nilsen Júnior, Parque Imperador	80	3	2	2	Aluga, Sobrado, 3 dormitórios, 1 suíte com ar condicionado, 2 com armários planejados e banheiro social.Sala em L, para 2 ambientes, cozinha integrada, quintal e área de serviç...	
1100	253	10	Rua Salto Grande, Parque Prado	43	2	1	1	Apartamento para Aluguel - Parque Prado, 2 Quartos, 43 - Campinas	
1000	280	25	Avenida São José dos Campos, Loteamento Parque São Martinho	50	2	1	1	Apartamento para Aluguel - Parque das Águas, 2 Quartos, 50 - Campinas	
2000	700	560	Vila Industrial, Campinas	65	2	2	1	Apartamento em ótima localização, arejado, andar alto, linda vista, sacada, sala para 2 ambientes com sofá, mesa com 6 cadeiras, TV tela plana ultra HD, cozinha tipo americana rica...	
1700	690	134	Avenida Antônio Carvalho de Miranda, Parque Industrial	76	3	2	2	Apartamento para Aluguel - Parque Industrial, 3 Quartos, 76 - Campinas	
2100	500	90	Rua Advogado Luíz Gama, Bonfim	60	2	2	2	apartamento para venda e locação no bairro Bonfim, Campinas. Lindo apartamento em bairro tranquilo pronto para morar. Fácil acesso a avenidas e rodovias. 2 dormitórios sendo 1 suit...	
2500	466	147	Rua Hermantino Coelho, Mansões Santo Antônio	64	2	2	2	Apartamento mobiliado para alugar no Mansões Santo Antonio com, 2 quartos sendo 1 suite com armários embutidos, um dos quartos com bancada de trabalho home, tv. sala ampla para 2 a...	
4400	935	317	Cidade Universitária, Campinas	236	4	2	6	Condomínio Cidade Universitária - CampinasLocalização privilegiada próximo de condomínios de alto padrão, Unicamp, PUCC, CPQD.Amplo sobrado em condomínio, com 4 suítes, sen...	
1200	306	60	Rua Santa Rita do Passa Quatro, Parque Prado	52	2	1	2	Lindo!Sala com piso em porcelanato.Cozinha em estilo americano com bancada em pedra, armários planejados, área de serviço isolada também com armário planejado.	
1400	100		Rua Lima, Vila Nogueira	42	1	1	1	Casa para Aluguel - Vila Nogueira, 1 Quarto, 42 - Campinas	
2100	750		Rua Saulo de Carvalho Luz, Jardim Aurélia	92	3	2	2	Apartamento para Aluguel - Jardim Aurélia, 3 Quartos, 92 - Campinas	
